,Author,first,ID,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
48,Mottarella,Scott,55324573100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,2,1,0,0,0,0
49,Nogiec,Christopher,55812616900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
50,Parikh,Jignesh,24376721100,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,2,1,1,0,0,0,0,0
51,Park,Richard,7401895887,0,0,0,0,0,0,2,0,1,0,0,1,2,3,3,1,1,1,0,0,0,0,0,0
52,Peter,Matthias,7202101726,3,3,7,5,8,7,15,19,3,11,13,13,12,13,16,11,21,15,12,11,6,2,1,0
53,Prasad,Jahnavi,7102569495,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,Quintin,Michael,57192917347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
55,Reddy,Timothy,57000622500,0,0,0,0,0,0,2,2,0,2,0,2,0,3,7,7,0,12,3,7,9,1,7,7
56,Richard,Guilhem,54788286700,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
57,Riehl,William,26768298100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1
58,Robasky,Kimberly,37666023900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,2,2,2,0,2
59,Schneider,Stephanie,57199274251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,Shah,Vishal,56250004000,0,0,0,0,0,1,3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
61,Shakhnovich,Boris,6507770379,0,0,0,0,1,4,4,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Snitkin,Evan,57201973169,0,0,0,0,0,0,0,1,2,0,4,2,2,2,1,2,1,1,1,4,4,6,10,9
63,Speranza,Emily,57119700800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,4,1,3,6
64,Tan,Yan,56003780500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,0,0,0,0
65,Tan,Yuxiang,57219663578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,3,1
66,Venkatesan,Kavitha,8974877200,0,0,0,0,0,1,0,1,0,4,1,6,1,1,2,1,0,3,2,1,0,2,0,0
67,Vishwanath,Prashanth,57206230167,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
68,Wake,Christian,57191430715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,Walker,Megon,55461500000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Wang,Junmin,57205493160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2
71,Wang,Yaoyu,52564519900,0,0,0,0,0,0,0,1,2,1,2,5,0,2,4,3,4,3,7,3,4,1,1,1
72,Xu,Gang,55726335500,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Yu,Yi,55574215236,0,0,0,0,0,0,0,4,2,0,1,2,2,7,6,3,2,2,1,0,0,0,0,0
74,Zeskind,Julie,8871981500,0,0,0,0,0,0,0,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
75,Zhang,Shile,35207342600,0,0,0,0,0,0,0,0,2,0,0,1,5,2,1,1,1,5,2,1,2,0,1,2
76,Abraham,Brian,55652299900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,7,6,11,10,3,6,6
77,Appleton,Evan,55247140700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,0,1,6
78,Bhutkar,Arjun,8942355400,0,0,0,0,0,0,0,2,1,3,2,0,1,4,2,1,5,3,5,9,5,4,5,3
79,Borders,Nathaniel,57217185859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,Bray,David,57208337681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
81,Byrne,David,55364019400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,Carrasco Pro,Sebastian,56015096500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,3,1,1,2
83,Chen,Hao,57200631744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0
84,Chen,Rong,57188838762,0,0,0,0,0,0,0,0,1,2,3,2,10,7,13,7,3,7,11,8,5,6,2,9
85,Chung,Jaeyoon,55470448500,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,0,2,0,1,2,3,7,7,4
86,Clayton,Samantha,57206192333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,Comeau,Stephen,6602518420,0,0,0,0,0,1,2,2,1,2,1,1,1,0,1,0,1,0,0,1,0,0,0,0
88,Cornelius,Ryan,57219091203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,Eslami,Marzieh,57192890447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
90,Faits,Tyler,41861111300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1
91,Farrell,John,55568523240,0,0,0,0,0,2,1,5,3,0,1,0,1,2,1,1,2,1,4,2,3,6,5,2
92,Garamszegi,Sara,54400931400,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,1,1,0,1,0,0,0
93,Gower,Adam,7006264081,0,0,0,0,1,1,1,1,1,6,2,2,3,4,1,3,4,3,6,5,5,2,1,4
94,Gurinovich,Anastasia,57193133830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,4,0,4
95,Gusenleitner,Daniel,36995300700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,1,3,0,2,2
96,Haas,Brian,8894467100,1,3,3,1,3,8,3,15,6,10,12,3,5,10,13,8,3,5,1,8,3,2,2,4
97,Halees,Anason,6507087082,0,0,0,0,1,1,4,0,0,3,1,1,0,1,0,2,0,1,2,0,1,0,0,0
98,Hernández,Yözen,26664496400,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,1,0,2,2
99,Hijazi,Kahkeshan,24721173700,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,2,1,0
100,Hong,Rui,57221313933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,Hu,Lan,57188734053,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
102,Hwang,Howook,23027287600,0,0,0,0,0,0,0,0,0,1,1,1,2,4,1,3,4,1,1,1,0,0,0,0
103,Iyer,Sowmya,55353295500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,3,4,4,6
104,Karaöz,Ulaş,6506761153,0,0,0,0,0,0,3,0,0,3,0,2,1,3,1,2,3,5,3,3,7,3,4,4
105,Keenan,Jessica,57208328068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1
106,Kroehling,Lina,57195407208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2
107,Li,Amy,57217320831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,0,0
108,Linghu,Bolan,18134345500,0,0,0,0,1,0,0,0,0,1,1,2,1,1,0,2,1,2,0,4,0,1,2,2
109,Lords,Hannah,57218324999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,Lorenz,David,57191491429,0,0,0,1,1,3,0,0,0,0,0,1,0,0,1,0,2,0,1,5,3,5,2,5
111,Loving,Joshua,55859047600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,2,0,1
112,Luna,Augustin,57217576878,0,0,0,0,0,0,0,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0
113,Lyubetskaya,Anna,57217935505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,7,2,0,1,1
114,Mak,Denise,57220434589,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,2,1,0,1,1,1
115,Mcmurry,Andrew,57193978645,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,3,0,0,0,0,1,0,0,0
116,Mellor,Joseph,7103106882,0,0,0,0,2,0,5,2,3,2,0,1,3,1,0,2,1,0,5,1,6,0,2,3
117,Mintseris,Julian,57206263052,0,0,0,0,1,3,2,3,1,4,3,0,2,1,2,0,1,1,0,0,0,1,2,2
118,Nalehua,Mary Rachel,57291618600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Ning,Boting,57196483358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
120,O'Neill,Nicholas,57188926554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0
121,Odom,Aubrey,57217670336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
122,Olayinka,Oluwatosin,57711930500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Pham,Lisa,53981878200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0
124,Pierce,Brian,8643064700,0,0,0,0,0,0,0,3,0,4,3,2,3,3,5,5,9,3,9,3,5,6,7,11
125,Rampersaud,Andy,57194199499,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0
126,Reed,Eric,57038065400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3
127,Rheinbay,Esther,57200677352,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,1,4,1,1,3,4,1,14,5
128,Rockwell,Graham,8559366000,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
129,Schaffer,Michael,55939071200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,3,2,2,3
130,Schiffer,Lucas,57196288397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2
131,Scott,Helen,57554990500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Selby,Heather,6602184061,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,3,3,1,2,0,1,1
133,Shi,Xingyi,57222512244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
134,Silberstein,Michael,36934194700,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Silverstein,Michael,57215778164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
136,Subramanian,Aravind,7102892052,0,0,0,2,0,1,0,6,3,2,3,2,2,6,0,1,5,1,5,7,4,6,2,3
137,Sugathan,Aarathi,35332988000,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,0,0,0,0,0,0,0
