Author,first,ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Perez-Rogers,Joseph,54791535000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0
Ryan,Joseph,35580983400,0,3,3,1,1,2,0,1,2,3,0,0,2,4,6,2,3,3,9,3,5,8,5,3
Schu,Matthew,54685015900,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,3,1,1,2,0,2,1,1
Shaikho,Elmutaz,57188960912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0
Singh,Priyam,55463335200,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Steinhardt,George,36910958200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Strampe,Jamie,57223876166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tharakaraman,Kannan,10041754500,0,0,0,0,0,0,0,1,2,0,2,3,0,1,0,4,2,3,2,1,2,0,1,2
Turcinovic,Jacquelyn,57223263527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wang,Teresa,57191846099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,11,13,3,4
Wu,Changjiun,55642608100,0,0,0,0,0,0,1,1,1,0,0,1,0,5,5,4,4,2,2,2,3,4,6,8
Xi,Hualin,57212441980,0,0,0,0,0,1,0,0,0,3,1,4,0,3,4,1,4,5,4,12,14,8,10,8
Xu,Mousheng,56390249600,0,0,0,0,0,0,0,0,0,1,1,0,3,4,1,0,2,0,0,1,3,1,1,1
Yu,Wenhan,56942714200,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,1,1,0,6,4,3,0
Zhang,Xiaoling,57205479364,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,3,5,3,3,7,9,2,4
