Author,first,ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Rampersaud,Andy,57194199499,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0
Reed,Eric,57038065400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3
Rheinbay,Esther,57200677352,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,1,4,1,1,3,4,1,14,5
Rockwell,Graham,8559366000,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Schaffer,Michael,55939071200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,3,2,2,3
Schiffer,Lucas,57196288397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2
Scott,Helen,57554990500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selby,Heather,6602184061,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,3,3,1,2,0,1,1
Shi,Xingyi,57222512244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Silberstein,Michael,36934194700,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silverstein,Michael,57215778164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Subramanian,Aravind,7102892052,0,0,0,2,0,1,0,6,3,2,3,2,2,6,0,1,5,1,5,7,4,6,2,3
Sugathan,Aarathi,35332988000,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,0,0,0,0,0,0,0
Sultana,Razvan,7003383527,0,0,0,3,4,4,0,5,1,0,1,1,2,0,3,2,0,2,1,0,1,5,7,9
Sánchez-Caballero,Ignacio,57188953395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tassinari,Ania,57224074388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tchantouridze,Elizabeth,57218870010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Van,Der Velde,55484694200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,2,1
Vardarajan,Badri,24485728500,0,0,0,0,0,0,0,0,0,0,1,0,1,5,6,5,7,13,11,5,15,10,9,5
Wang,Zhe,57203894757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
Wiehe,Kevin,8641549200,0,0,0,0,1,0,0,2,0,3,0,1,0,1,0,2,7,3,4,11,6,8,8,11
Yanai,Itai,6603786498,0,0,1,3,4,3,3,5,2,0,1,2,1,2,6,4,4,4,5,6,4,6,9,10
Zhang,Yuqing,57202223805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
Zhao,Yue,57200691170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2
Zheng,Yu,56150078400,0,0,0,0,2,1,3,2,0,1,0,1,1,6,5,2,6,5,2,0,2,1,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,
