Author,first,ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nogiec,Christopher,55812616900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Parikh,Jignesh,24376721100,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,2,1,1,0,0,0,0,0
Park,Richard,7401895887,0,0,0,0,0,0,2,0,1,0,0,1,2,3,3,1,1,1,0,0,0,0,0,0
Peter,Matthias,7202101726,3,3,7,5,8,7,15,19,3,11,13,13,12,13,16,11,21,15,12,11,6,2,1,0
Prasad,Jahnavi,7102569495,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Quintin,Michael,57192917347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Reddy,Timothy,57000622500,0,0,0,0,0,0,2,2,0,2,0,2,0,3,7,7,0,12,3,7,9,1,7,7
Richard,Guilhem,54788286700,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
Riehl,William,26768298100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1
Robasky,Kimberly,37666023900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,2,2,2,0,2
Schneider,Stephanie,57199274251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shah,Vishal,56250004000,0,0,0,0,0,1,3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Shakhnovich,Boris,6507770379,0,0,0,0,1,4,4,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitkin,Evan,57201973169,0,0,0,0,0,0,0,1,2,0,4,2,2,2,1,2,1,1,1,4,4,6,10,9
Speranza,Emily,57119700800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,4,1,3,6
Tan,Yan,56003780500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,0,0,0,0
Tan,Yuxiang,57219663578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,3,1
Venkatesan,Kavitha,8974877200,0,0,0,0,0,1,0,1,0,4,1,6,1,1,2,1,0,3,2,1,0,2,0,0
Vishwanath,Prashanth,57206230167,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Wake,Christian,57191430715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Walker,Megon,55461500000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wang,Junmin,57205493160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2
Wang,Yaoyu,52564519900,0,0,0,0,0,0,0,1,2,1,2,5,0,2,4,3,4,3,7,3,4,1,1,1
Xu,Gang,55726335500,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yu,Yi,55574215236,0,0,0,0,0,0,0,4,2,0,1,2,2,7,6,3,2,2,1,0,0,0,0,0
Zeskind,Julie,8871981500,0,0,0,0,0,0,0,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Zhang,Shile,35207342600,0,0,0,0,0,0,0,0,2,0,0,1,5,2,1,1,1,5,2,1,2,0,1,2
